Name,Set,Notes,Blue,Orange,Red
Achille,,,Zombie Link,+1 To Dice Roll: Melee;Distributor,+1 Damage: Combat;+1 Free Action: Combat;Born Leader
Adam,,,+1 Die: Melee,+1 Die: Combat;Webbing,+1 Free Action: Combat;+1 To Dice Roll: Combat;Hoard
Adriana,,,Taunt,+1 Free Action: Combat;Lifesaver,+1 Free Action: Move;+1 To Dice Roll: Combat;Steady Hand
Amy,,,+1 Free Action: Move,+1 Free Action: Melee;+1 Free Action: Ranged,+1 Die: Combat;+1 To Dice Roll: Combat;Medic
Amy,Ultimate,,+1 Free Action: Move;Medic,+1 Free Action: Combat;+1 Free Action: Move,+1 Die: Combat;+1 To Dice Roll: Combat;Bloodlust: Combat
Angry Mary,,,Reaper: Ranged,+1 Free Action: Ranged;Hit & Run,+1 Die: Combat;+1 Free Action: Move;+1 To Dice Roll: Combat
Audrey,,,Zombie Link,+1 Die: Ranged;+1 To Dice Roll: Melee,+1 Free Action: Combat;Bloodlust: Combat;Hit & Run
Azaghal,,,Swordmaster,+1 Die: Combat;Barbarian,+1 Free Action: Combat;Dreadnought: Walker;Slippery
Bastian,,,Matching Set,+1 Die: Combat;+1 Free Action: Combat,+1 Die: Combat;+1 Free Action: Combat;+1 To Dice Roll: Combat
Bear,,,Shove,+1 Free Action: Melee;+1 To Dice Roll: Melee,+1 Damage: Melee;+1 Die: Combat;Lifesaver
Belle,,,+1 Free Action: Move,+1 Free Action: Melee;+1 To Dice Roll: Ranged,+1 Die: Combat;+1 Free Action: Move;Ambidextrous
Benny,,,+1 Die: Ranged,+1 Die: Ranged;Lifesaver,+1 Die: Ranged;+1 Free Action: Combat;Born Leader
Bill,,,+1 Damage: Ranged,+1 Die: Combat;Distributor,+1 Free Action: Combat;Born Leader;Point-Blank
Bobby Singer,Supernatural,,Sniper,+1 Free Action: Ranged;Hoard,+1 Damage: Ranged;+1 Free Action: Combat;Blitz
Bones,,,Tactician,+1 To Dice Roll: Ranged;Slippery,+1 Die: Combat;+1 Free Action: Combat;Lucky
Brad,,,Starts With: A Shotgun,+1 Free Action: Ranged;Lucky,+1 Damage: Ranged;+1 To Dice Roll: Combat;Steady Hand
Brother Max,,,Dreadnought: Walker,Barbarian;Full Auto,+1 Damage: Melee;+1 Damage: Ranged;+1 Free Action: Combat
Bunny G,,,Lucky,+1 To Dice Roll: Melee;Jump,+1 Damage: Melee;+1 Free Action: Combat;Roll 6: +1 Die Combat
Carson,,,Slippery,+1 Free Action: Ranged;Dreadnought: Walker,+1 Free Action: Combat;+1 To Dice Roll: Combat;Lifesaver
Castiel,Supernatural,,Medic,Blitz;Dreadnought: Walker,+1 Free Action: Combat;Regeneration;Super Strength
Cat,,,+1 Free Action: Move,+1 Die: Combat;+1 Free Action: Melee,+1 Free Action: Combat;+1 Zone Per Move;Slippery
